DocID,DOI,ItemType,PublicationYear,Author,Title,PublicationTitle,Abstract,Notes,Psychology_Keywords,Philosophy_Keywords,Biology_Keywords,Medicine_Keywords,Max_Score,Second_Score,Difference,N_Max,AutomatedAssignment,Tie,Low_Confidence,AutomatedAssignment_Revision,Field,ReasonCorrection,ReasonCorrection_Standard
1,10.1002/dev.420210610,JournalArticle,1988,"Bekoff, Marc",Motor training and physical fitness: possible short- and long-term influences on the development of individual differences in behavior.,Developmental Psychobiology,"Individual differences in the behavior of young and adult animals have been documented in diverse species. Possible sources of such variation are of interest to scientists representing many disciplines, including behavior, genetics, and population and evolutionary biology. Two variables that may be important in the ontogeny and maintenance of behavioral differences are (1) individual physical (aerobic and anaerobic) fitness and (2) possible genetic variations underlying individual abilities to engage in, and to benefit from, motor training early in life. The differential development of aerobic and anaerobic capacities may play a significant role in the ontogeny of individual differences in the performance of various motor skills. There also may be short- and long-term consequences of variations in physical fitness that influence individual abilities to perform energy demanding acts during aggressive encounters, interactions with prey or predators, and courtship and breeding. Genetic studies of a limited number of species indicate that specific genotypes are correlated with individual variations in motor performance, even among conspecifics. Multidisciplinary research concerning possible relationships among the ontogeny of physical fitness, genetics, and variations in behavior is needed. Recent work on the relationship between individual differences in physical fitness and variations in the behavior of adult cold-blooded vertebrates provides a good model for comparative research on warm-blooded species.",About the developing of motor behavior,0,0,10,0,10,0,10,1,Biology,0,0,Biology,Biology,,
2,10.1017/s0140525x00058349,Commentary,1988,"Dyer, Antoinette B.",The neglected developmental dimension of “obligatory” behavior,Behavioral and Brain Sciences,NA,"A comment about how ""obligatory behavior"" requires the environment to exert influences on development",0,0,0,0,0,0,0,4,Other,1,1,Other,Psychology,This is a commentary on a psychology paper,Journal from different field; Content from different field
3,10.1017/s0140525x0005370x,JournalArticle,1988,"Johnston, Timothy D.",Developmental explanation and the ontogeny of birdsong: Nature/nurture redux,Behavioral and Brain Sciences,"Despite several decades of criticism, dichotomous thinking about behavioral development (the view that the behavioral phenotype can be partitioned into inherited and acquired components) remains widespread and influential. This is particularly true in study of birdsong development, where it has become increasingly common to diagnose songs, elements of songs, or precursors of songs (song templates) as either innate or learned on the basis of isolation-rearing experiments. The theory of sensory templates has encouraged both the dichotomous approach (by providing a role for genetic blueprints to guide song learning) and an emphasis on structural rather than functional aspects of song development. As a result, potentially important lines of investigation have been overlooked and the interpretation of existing data is often flawed. Evidence for a genetic origin of behavioral differences is frequently interpreted as evidence for the genetic determination of behavioral characters. The technique of isolation rearing remains the methodology of choice for many investigators, despite the fact that it offers only a rather crude analysis of the contribution of experience to song development and provides no information at all about genetic contributions to development. The latter could in principle be elucidated by the application of developmental-genetic techniques, but it is unlikely that these can easily be applied to the study of birdsong. Because developmental questions are so often posed in terms of the learned—innate dichotomy, ""experience""is taken to be synonymous with ""learning"" and the possible role of nonobvious contributions to song development has largely been ignored. An alternative approach, based on Daniel Lehrman's interactionist theory of development, permits a more thorough appreciation of the problems that have yet to be addressed, and provides a more secure conceptual foundation for theories of song development.",About developing a theoretical framework to understand bird song development,5,4,2,1,5,4,1,1,Psychology,0,1,Ambiguous_Close,Psychology,"The journal is mostly psychological, and the topic seems to belong to the developmental psychobiology tradition ",Journal from assigned field; Content from assigned field
4,10.1037//0735-7044.103.2.378,JournalArticle,1989,"Hennessy, Michael B.; Moorman, Laura",Factors influencing cortisol and behavioral responses to maternal separation in guinea pigs.,Behavioral Neuroscience,"Infant guinea pigs recently were found to respond to brief maternal separation with an increase in plasma cortisol levels. The present experiments were conducted to further characterize this response and compare it with the cortisol separation response previously observed in primates. In Experiment 1, separation of guinea pig pups from their mothers did not elevate the plasma cortisol levels of the pups at either 30 or 180 min when they remained alone in their home cages during the separation. Experiment 2 showed that cortisol levels of pups placed alone in a novel cage were greater at 30, 90, and 180 min than were those of pups placed in the cages together with their mothers. In contrast, the separated pups vocalized more than did pups tested with their mothers during the initial 30 min only. In Experiment 3, pups raised on inanimate surrogates responded less intensely to rearing-figure separation in terms of both cortisol and vocalizations than did mother-reared controls. Taken together, these results indicate both differences (response to home cage separation) and similarities (dissociation of cortisol and vocalization responses, effect of surrogate separation) in the separation responses of guinea pig and primate infants. The guinea pig model may provide a useful adjunct to primate studies for examining particular issues concerning physiological effects of brief separation from an attachment object.",About the effects of maternal separation on guinea pigs,3,0,0,0,3,0,3,1,Psychology,0,0,Psychology,Psychology,,
5,10.1002/dev.420220703,JournalArticle,1989,"Fairbanks, Lynn A.",Early experience and cross-generational continuity of mother-infant contact in vervet monkeys.,Developmental Psychobiology,"This report presents evidence that suggests that spontaneously-occurring variation in early mother-infant experience within the normal range can influence primate mothering behavior in the next generation. Longitudinal observations of vervet monkeys (Cercopithecus aethiops sabaeus) living in naturally composed captive social groups demonstrated that the average amount of contact that mothers maintained with their infants in the first six months of life could be predicted by the amount of mother-infant contact the females had experienced as infants. A female's early experience in infancy was a better predictor of adult mothering behavior than variables measuring social learning as a juvenile, shared circumstances, and average similarity between mothers and daughters.",About mothering behavior in primates and their influence on offspring,6,0,0,0,6,0,6,1,Psychology,0,0,Psychology,Psychology,,
6,10.1007/bf03172612,JournalArticle,1989,"Hopkins, Brian","Culture, infancy and education",European Journal of Psychology of Education,"The English word infant is derived from the Latin infans meaning «without speech». In German (Saugling) and Duch (zuigeling), an infant is somebody who sucks (at the breast). The French equivalent (nourrisson) reflects that it is an organism which has to be fed. In Czech (kojenec) it is derived from the verb kojit meaning to nurse. Thus, when speech is acquired and feeding can be carried out independently, the period of infancy begins to give way to early childhood. In some non-Western cultures, other sorts of markers may be used to denote this transition which rely more on social phenomena than on maturational or chronological indicators. For example, the Kipsigis of western Kenya define the transition primarily in relation to the birth of the next child (Harkness & Super, 1983). Cultures also differ in terms of defining what are the critical features of development during infancy (LeVine, 1977) and thereby what behaviours are preferentially encouraged (or discouraged) by the caretakers (Super, 1981). It is important to appreciate differences in the culturally-constructed meaning of infancy as they provide a better understanding of the variations that manifest themselves in panhuman forms of early educational practice. The crucial, and largely unanswered, question relates to the functional significance of these variations: in what ways do they share common concerns and in what ways do they constitute adaptations to the local environment of the culture? The answers have important consequences for the acceptability and efficacy of any international programs of aid concerned with parental and child health. While there are some notable exceptions, most research concerned with cultural comparisons of infant behaviour and development is simply not up to providing appropriate answers. Understanding the nature of the initial phase of human nurture has suffered from a neglect of the early environment of education in such comparisons. Various justifications have been offered for carrying out cross-cultural research on infancy (or what Leiderman, Tulkin & Rosenfeld, 1977, prefer to term comparative child development studies). For the present purposes, four reasons or aims can be identified.","About the origins and ethymology of concepts such as ""infant"" and its implications",17,1,1,0,17,1,16,1,Psychology,0,0,Psychology,Psychology,,
7,10.1016/s0166-4115(08)60097-7,BookChapter,1990,"Young, Gerald",Early Neuropsychological Development: Lateralization of Functions - Hemispheric Specialization,"Advances in Psychology, 64: Developmental Psychology","A progressive inhibition theory of developmental stages in left hemisphere specialization is described. The theory is built on a new model of neo-Piagetian cognitive development. Comparisons are made with a novel multidimensional model of general development and with current developmental research and theory. In particular, the former especially deals with early lateralized behavior and longitudinal relations involving such behavior. The latter concerns the points of view of invariant lateralization and additions, stages, and transfers in progressive lateralization. Implications for socioemotional development are discussed in conclusion.",About devleoping a theoretical framework for lateralization of brain functions,6,2,0,0,6,2,4,1,Psychology,0,0,Psychology,Psychology,,
8,10.1111/j.1467-9280.1990.tb00075.x,JournalArticle,1990,"Smotherman, William P.; Robinson, Scott R.",The Prenatal Origins of Behavioral Organization,Psychological Science,"Recognition that organisms have a developmental history, exhibit behavior that is uniquely suited to or constrained by features of their immediate environment, and adapt to new environments is central to current psychobiological thought. Unfortunately, these concepts have in the past been restricted largely to the study of postnatal behavioral development. However, recent extension of these concepts to the fetus as an active and interactive organism that resides within a specialized, intrauterine niche is proving to be a profitable approach toward understanding the origins of behavioral organization during development.",About developing a theoretical framework to understand prenatal development,2,6,0,0,6,2,4,1,Philosophy,0,0,Philosophy,Psychology,"This is a scientific paper, so the authomatic assignment failed",Content from different field
9,10.1002/dev.420230710,JournalArticle,1990,"Dent, Cathy H.",An ecological approach to language development: an alternative functionalism.,Developmental Psychobiology,"I argue for a new functionalist approach to language development, an ecological approach. A realist orientation is used that locates the causes of language development neither in the child nor in the language environment but in the functioning of perceptual systems that detect language-world relationship and use them to guide attention and action. The theory requires no concept of innateness, thus avoiding problems inherent in either the innate ideas or the genes-as-causal-programs explanations of the source of structure in language. An ecological explanation of language is discussed in relation to concepts and language, language as representation, problems in early word learning, metaphor, and syntactic development. Finally, problems incurred in using the idea of innateness are summarized: History prior to the chosen beginning point is ignored, data on organism-environment mutuality are not collected, and the explanation claims no effects of learning, which cannot be tested empirically.",About developing an ecological theoretical framework for human language,4,9,8,0,9,8,1,1,Philosophy,0,1,Ambiguous_Close,Psychology,"Despite the conceptual load, the paper is about a theoretical proposal within psychology",Journal from different field
10,10.1016/0273-2297(90)90019-z,JournalArticle,1990,"Lickliter, Robert; Berry, Thomas D.",The phylogeny fallacy: Developmental psychology's misapplication of evolutionary theory,Developmental Review,"The habit of thinking about ontogeny and phylogeny as alternative means by which information is made available to the developing individual has a long history in both biology and psychology. This article examines existing proximate (ontogenetic) and ultimate (preontogenetic) approaches to the study of human development and describes an alternative, developmental systems approach for directing research programs. On this view, phenotypes are not simply transmitted in the genes, nor are they contained in features of the environment. Rather, traits or characters are always constructed by the complex coaction of organic, organismic, and environmental factors operating during individual ontogeny. This expanded, systematic view of heredity and phenotypic development serves to eliminate the need for the dichotomization of developmental explanations into proximate and ultimate causes and directs research attention to the organism-context transaction process, thereby including a large class of variables typically omitted from preontogenetic explanations of development.",About developing a theoretical framework to understand the development of humans,4,8,6,0,8,6,2,1,Philosophy,0,0,Philosophy,Psychology,"This can perfectly be a paper about philosophy, biology or psychology. Given that the author is a psychologist and it's published on a psychology journal, I will assign it as a psychology contribution",Journal from different field; Author from different field
